site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,lat,lon
Phoenix,33,26,54,112,4,26,33.44833333,-112.0738889
NYC,40,42,46,74,0,22,40.71277778,-74.00611111
Flagstaff,35,11,57,111,37,52,35.19916667,-111.6311111
Salt Lake City,40,45,39,111,53,28,40.76083333,-111.8911111
Tucson,32,13,18,110,55,35,32.22166667,-110.9263889
Las Vegas,36,10,30,115,8,11,36.175,-115.1363889
San Diego,32,42,54,117,9,45,32.715,-117.1625
Los Angeles,34,3,,118,15,,34.05,-118.25
Sacramento,38,34,54,121,29,40,38.58166667,-121.4944444
Yuma,32,41,32,114,36,55,32.69222222,-114.6152778
El Centro,32,48,,115,34,,32.8,-115.5666667
Fresno,36,45,,119,46,,36.75,-119.7666667
Bears Ears,,,,,,,37.5241,-109.7471
NEON SRER,,,,,,,31.91068,-110.83549
Claremont,34,6,36,117,43,11,34.11,-117.7197222
Death Valley,36,14,49,116,49,1,36.24694444,-116.8169444
Joshua Tree,,,,,,,34.1,-116.27
Napa,,,,,,,38.5,-122.32
